Subj,Type,ROI,Phase,beta,var,TRAIT,STATE
MAX101,safe,Right Ventral Striatum,late,-0.146329,0.001794,27,22
MAX101,safe,vmPFC,early,-0.014895,0.009154,27,22
MAX101,safe,vmPFC,late,0.081482,0.009313,27,22
MAX101,threat,ACC,early,-0.005278,0.001098,27,22
MAX101,threat,ACC,late,-0.040780,0.001172,27,22
MAX101,threat,Left AntDorsal Insula,early,0.044295,0.000877,27,22
MAX101,threat,Left AntDorsal Insula,late,0.008917,0.000900,27,22
MAX101,threat,Left AntVentral Insula,early,-0.072066,0.001883,27,22
MAX101,threat,Left AntVentral Insula,late,-0.007555,0.001919,27,22
MAX101,threat,Left Anterior  Putamen,early,-0.063673,0.001800,27,22
MAX101,threat,Left Anterior  Putamen,late,0.051429,0.001836,27,22
MAX101,threat,Left Anterior Caudate,early,0.105924,0.001561,27,22
MAX101,threat,Left Anterior Caudate,late,0.039169,0.001581,27,22
MAX101,threat,Left Anterior MCC,early,0.209354,0.002277,27,22
MAX101,threat,Left Anterior MCC,late,0.216890,0.002353,27,22
MAX101,threat,Left Anterior Thalamus,early,0.086156,0.001454,27,22
MAX101,threat,Left Anterior Thalamus,late,0.059814,0.001497,27,22
MAX101,threat,Left BLBM Amygdala,early,0.105178,0.008147,27,22
MAX101,threat,Left BLBM Amygdala,late,-0.014669,0.008208,27,22
MAX101,threat,Left BST,early,0.040947,0.013292,27,22
MAX101,threat,Left BST,late,-0.127670,0.013394,27,22
MAX101,threat,Left CeMe Amygdala,early,-0.050440,0.009236,27,22
MAX101,threat,Left CeMe Amygdala,late,0.034094,0.009322,27,22
MAX101,threat,Left Hypothalamus,early,-0.100593,0.009380,27,22
MAX101,threat,Left Hypothalamus,late,-0.245228,0.009450,27,22
MAX101,threat,Left MidPost Insula,early,-0.053130,0.000699,27,22
MAX101,threat,Left MidPost Insula,late,-0.018200,0.000719,27,22
MAX101,threat,Left PAG,early,-0.097805,0.008664,27,22
MAX101,threat,Left PAG,late,-0.123631,0.008725,27,22
MAX101,threat,Left Posterior Caudate,early,0.039620,0.001766,27,22
MAX101,threat,Left Posterior Caudate,late,0.090047,0.001789,27,22
MAX101,threat,Left Posterior Putamen,early,0.009232,0.002645,27,22
MAX101,threat,Left Posterior Putamen,late,0.191080,0.002722,27,22
MAX101,threat,Left Posterior Thalamus,early,0.028331,0.001464,27,22
MAX101,threat,Left Posterior Thalamus,late,-0.010139,0.001481,27,22
MAX101,threat,Left Ventral Striatum,early,-0.043816,0.001489,27,22
MAX101,threat,Left Ventral Striatum,late,-0.074775,0.001511,27,22
MAX101,threat,PCC,early,-0.148808,0.007482,27,22
MAX101,threat,PCC,late,-0.267423,0.007827,27,22
MAX101,threat,PCC/precuneus,early,-0.369900,0.015102,27,22
MAX101,threat,PCC/precuneus,late,-0.549437,0.016013,27,22
MAX101,threat,Right AntDorsal Insula,early,0.054449,0.001157,27,22
MAX101,threat,Right AntDorsal Insula,late,0.105561,0.001192,27,22
MAX101,threat,Right AntVentral Insula,early,-0.055881,0.001308,27,22
MAX101,threat,Right AntVentral Insula,late,-0.021780,0.001331,27,22
MAX101,threat,Right Anterior Caudate,early,0.025841,0.001116,27,22
MAX101,threat,Right Anterior Caudate,late,0.085501,0.001144,27,22
MAX101,threat,Right Anterior MCC,early,0.093717,0.001650,27,22
MAX101,threat,Right Anterior MCC,late,0.138699,0.001714,27,22
MAX101,threat,Right Anterior Putamen,early,-0.015515,0.001300,27,22
MAX101,threat,Right Anterior Putamen,late,0.092158,0.001322,27,22
MAX101,threat,Right Anterior Thalamus,early,0.081859,0.001349,27,22
MAX101,threat,Right Anterior Thalamus,late,0.115644,0.001389,27,22
MAX101,threat,Right BLBM Amygdala,early,-0.265673,0.019264,27,22
MAX101,threat,Right BLBM Amygdala,late,-0.117629,0.019405,27,22
MAX101,threat,Right BST,early,0.303447,0.027419,27,22
MAX101,threat,Right BST,late,-0.032852,0.027711,27,22
MAX101,threat,Right CeMe Amygdala,early,-0.109820,0.006153,27,22
MAX101,threat,Right CeMe Amygdala,late,-0.086515,0.006214,27,22
MAX101,threat,Right Hypothalamus,early,0.083981,0.010294,27,22
MAX101,threat,Right Hypothalamus,late,0.115962,0.010369,27,22
MAX101,threat,Right MidPost Insula,early,0.057289,0.000746,27,22
MAX101,threat,Right MidPost Insula,late,0.064347,0.000772,27,22
MAX101,threat,Right PAG,early,0.027849,0.012008,27,22
MAX101,threat,Right PAG,late,0.008282,0.012100,27,22
MAX101,threat,Right Posterior Caudate,early,0.007315,0.003290,27,22
MAX101,threat,Right Posterior Caudate,late,0.068525,0.003367,27,22
MAX101,threat,Right Posterior Putamen,early,-0.056730,0.001416,27,22
MAX101,threat,Right Posterior Putamen,late,0.122273,0.001456,27,22
MAX101,threat,Right Posterior Thalamus,early,-0.048144,0.000972,27,22
MAX101,threat,Right Posterior Thalamus,late,-0.022084,0.000989,27,22
MAX101,threat,Right Ventral Striatum,early,-0.093376,0.001780,27,22
MAX101,threat,Right Ventral Striatum,late,-0.159506,0.001806,27,22
MAX101,threat,vmPFC,early,-0.005023,0.008933,27,22
MAX101,threat,vmPFC,late,-0.242143,0.009415,27,22
MAX102,safe,ACC,early,0.020132,0.001896,47,44
MAX102,safe,ACC,late,-0.032406,0.002015,47,44
MAX102,safe,Left AntDorsal Insula,early,0.224137,0.002464,47,44
MAX102,safe,Left AntDorsal Insula,late,0.055626,0.002604,47,44
MAX102,safe,Left AntVentral Insula,early,0.222701,0.008071,47,44
MAX102,safe,Left AntVentral Insula,late,0.086606,0.008492,47,44
MAX102,safe,Left Anterior  Putamen,early,0.089659,0.004612,47,44
MAX102,safe,Left Anterior  Putamen,late,-0.219627,0.004882,47,44
MAX102,safe,Left Anterior Caudate,early,0.248120,0.005679,47,44
MAX102,safe,Left Anterior Caudate,late,0.010580,0.006017,47,44
MAX102,safe,Left Anterior MCC,early,0.091525,0.005471,47,44
MAX102,safe,Left Anterior MCC,late,-0.087458,0.005788,47,44
MAX102,safe,Left Anterior Thalamus,early,-0.068091,0.005469,47,44
MAX102,safe,Left Anterior Thalamus,late,-0.133776,0.005783,47,44
MAX102,safe,Left BLBM Amygdala,early,-0.022932,0.003288,47,44
MAX102,safe,Left BLBM Amygdala,late,0.032739,0.003336,47,44
MAX102,safe,Left BST,early,0.173730,0.038124,47,44
MAX102,safe,Left BST,late,-0.304492,0.038901,47,44
MAX102,safe,Left CeMe Amygdala,early,-0.174636,0.015105,47,44
MAX102,safe,Left CeMe Amygdala,late,-0.252584,0.015411,47,44
MAX102,safe,Left Hypothalamus,early,-0.250265,0.017321,47,44
MAX102,safe,Left Hypothalamus,late,-0.013589,0.017677,47,44
MAX102,safe,Left MidPost Insula,early,0.080274,0.003488,47,44
MAX102,safe,Left MidPost Insula,late,-0.022777,0.003692,47,44
MAX102,safe,Left PAG,early,0.010008,0.016876,47,44
MAX102,safe,Left PAG,late,0.047966,0.016872,47,44
MAX102,safe,Left Posterior Caudate,early,0.045904,0.004388,47,44
MAX102,safe,Left Posterior Caudate,late,0.035867,0.004562,47,44
MAX102,safe,Left Posterior Putamen,early,0.032104,0.008409,47,44
MAX102,safe,Left Posterior Putamen,late,-0.191739,0.008913,47,44
MAX102,safe,Left Posterior Thalamus,early,-0.019598,0.002186,47,44
MAX102,safe,Left Posterior Thalamus,late,-0.130520,0.002289,47,44
MAX102,safe,Left Ventral Striatum,early,0.043342,0.005181,47,44
MAX102,safe,Left Ventral Striatum,late,-0.139447,0.005492,47,44
MAX102,safe,PCC,early,-0.110666,0.009268,47,44
MAX102,safe,PCC,late,-0.231621,0.009798,47,44
MAX102,safe,PCC/precuneus,early,-0.609579,0.026302,47,44
MAX102,safe,PCC/precuneus,late,-0.447311,0.027863,47,44
MAX102,safe,Right AntDorsal Insula,early,0.071347,0.002945,47,44
MAX102,safe,Right AntDorsal Insula,late,0.022496,0.003117,47,44
MAX102,safe,Right AntVentral Insula,early,-0.000494,0.007328,47,44
MAX102,safe,Right AntVentral Insula,late,-0.043793,0.007759,47,44
MAX102,safe,Right Anterior Caudate,early,0.132547,0.003813,47,44
MAX102,safe,Right Anterior Caudate,late,0.035774,0.004044,47,44
MAX102,safe,Right Anterior MCC,early,0.141054,0.005427,47,44
MAX102,safe,Right Anterior MCC,late,-0.020325,0.005747,47,44
MAX102,safe,Right Anterior Putamen,early,0.011953,0.003452,47,44
MAX102,safe,Right Anterior Putamen,late,-0.171344,0.003656,47,44
MAX102,safe,Right Anterior Thalamus,early,0.028286,0.005763,47,44
MAX102,safe,Right Anterior Thalamus,late,-0.009116,0.006101,47,44
MAX102,safe,Right BLBM Amygdala,early,-0.069097,0.002527,47,44
MAX102,safe,Right BLBM Amygdala,late,-0.113322,0.002564,47,44
MAX102,safe,Right BST,early,0.282667,0.028413,47,44
MAX102,safe,Right BST,late,-0.080400,0.028988,47,44
MAX102,safe,Right CeMe Amygdala,early,-0.292505,0.017139,47,44
MAX102,safe,Right CeMe Amygdala,late,-0.360063,0.018034,47,44
MAX102,safe,Right Hypothalamus,early,0.066964,0.004777,47,44
MAX102,safe,Right Hypothalamus,late,0.127544,0.004805,47,44
MAX102,safe,Right MidPost Insula,early,0.110659,0.004288,47,44
MAX102,safe,Right MidPost Insula,late,0.000894,0.004532,47,44
MAX102,safe,Right PAG,early,0.037693,0.022690,47,44
MAX102,safe,Right PAG,late,0.161657,0.022758,47,44
MAX102,safe,Right Posterior Caudate,early,-0.085930,0.004225,47,44
MAX102,safe,Right Posterior Caudate,late,-0.057768,0.004333,47,44
MAX102,safe,Right Posterior Putamen,early,0.167546,0.004479,47,44
MAX102,safe,Right Posterior Putamen,late,0.014624,0.004738,47,44
MAX102,safe,Right Posterior Thalamus,early,-0.010464,0.002150,47,44
MAX102,safe,Right Posterior Thalamus,late,-0.120024,0.002233,47,44
MAX102,safe,Right Ventral Striatum,early,-0.103574,0.004271,47,44
MAX102,safe,Right Ventral Striatum,late,-0.068191,0.004490,47,44
MAX102,safe,vmPFC,early,-0.030964,0.005618,47,44
MAX102,safe,vmPFC,late,-0.230254,0.005950,47,44
MAX102,threat,ACC,early,-0.152203,0.001854,47,44
MAX102,threat,ACC,late,-0.015882,0.002023,47,44
MAX102,threat,Left AntDorsal Insula,early,-0.089467,0.002413,47,44
MAX102,threat,Left AntDorsal Insula,late,0.167217,0.002612,47,44
MAX102,threat,Left AntVentral Insula,early,-0.233677,0.007961,47,44
MAX102,threat,Left AntVentral Insula,late,0.250344,0.008482,47,44
MAX102,threat,Left Anterior  Putamen,early,-0.470440,0.004468,47,44
MAX102,threat,Left Anterior  Putamen,late,-0.245620,0.004917,47,44
MAX102,threat,Left Anterior Caudate,early,-0.272039,0.005531,47,44
MAX102,threat,Left Anterior Caudate,late,0.041683,0.006049,47,44
MAX102,threat,Left Anterior MCC,early,-0.385146,0.005279,47,44
MAX102,threat,Left Anterior MCC,late,-0.136948,0.005843,47,44
MAX102,threat,Left Anterior Thalamus,early,-0.598334,0.005274,47,44
MAX102,threat,Left Anterior Thalamus,late,-0.252139,0.005843,47,44
MAX102,threat,Left BLBM Amygdala,early,-0.222421,0.003313,47,44
MAX102,threat,Left BLBM Amygdala,late,-0.155423,0.003336,47,44
MAX102,threat,Left BST,early,-0.210929,0.038185,47,44
MAX102,threat,Left BST,late,-0.151713,0.038588,47,44
MAX102,threat,Left CeMe Amygdala,early,-0.695069,0.015126,47,44
MAX102,threat,Left CeMe Amygdala,late,-0.599323,0.015290,47,44
MAX102,threat,Left Hypothalamus,early,-0.416154,0.017350,47,44
MAX102,threat,Left Hypothalamus,late,-0.395842,0.017534,47,44
MAX102,threat,Left MidPost Insula,early,-0.469731,0.003368,47,44
MAX102,threat,Left MidPost Insula,late,-0.267890,0.003726,47,44
MAX102,threat,Left PAG,early,-0.270584,0.016941,47,44
MAX102,threat,Left PAG,late,-0.324217,0.016844,47,44
MAX102,threat,Left Posterior Caudate,early,-0.507695,0.004384,47,44
MAX102,threat,Left Posterior Caudate,late,-0.185484,0.004628,47,44
MAX102,threat,Left Posterior Putamen,early,-0.786995,0.008147,47,44
MAX102,threat,Left Posterior Putamen,late,-0.415859,0.008978,47,44
MAX102,threat,Left Posterior Thalamus,early,-0.343222,0.002171,47,44
MAX102,threat,Left Posterior Thalamus,late,-0.222594,0.002277,47,44
MAX102,threat,Left Ventral Striatum,early,-0.251316,0.005052,47,44
MAX102,threat,Left Ventral Striatum,late,-0.048546,0.005520,47,44
MAX102,threat,PCC,early,-0.508051,0.009086,47,44
MAX102,threat,PCC,late,-0.342883,0.009816,47,44
MAX102,threat,PCC/precuneus,early,-1.305260,0.025494,47,44
MAX102,threat,PCC/precuneus,late,-1.409276,0.028074,47,44
MAX102,threat,Right AntDorsal Insula,early,-0.228321,0.002866,47,44
MAX102,threat,Right AntDorsal Insula,late,0.108819,0.003136,47,44
MAX102,threat,Right AntVentral Insula,early,-0.482146,0.007102,47,44
MAX102,threat,Right AntVentral Insula,late,0.070302,0.007822,47,44
MAX102,threat,Right Anterior Caudate,early,-0.290514,0.003695,47,44
MAX102,threat,Right Anterior Caudate,late,0.013328,0.004072,47,44
MAX102,threat,Right Anterior MCC,early,-0.376114,0.005238,47,44
MAX102,threat,Right Anterior MCC,late,-0.147581,0.005793,47,44
MAX102,threat,Right Anterior Putamen,early,-0.377088,0.003344,47,44
MAX102,threat,Right Anterior Putamen,late,-0.164045,0.003683,47,44
MAX102,threat,Right Anterior Thalamus,early,-0.586831,0.005560,47,44
MAX102,threat,Right Anterior Thalamus,late,-0.109268,0.006156,47,44
MAX102,threat,Right BLBM Amygdala,early,-0.350291,0.002544,47,44
MAX102,threat,Right BLBM Amygdala,late,-0.287499,0.002561,47,44
MAX102,threat,Right BST,early,0.094530,0.028456,47,44
MAX102,threat,Right BST,late,0.025506,0.028758,47,44
MAX102,threat,Right CeMe Amygdala,early,-1.205774,0.016910,47,44
MAX102,threat,Right CeMe Amygdala,late,-0.826796,0.018015,47,44
MAX102,threat,Right Hypothalamus,early,-0.197494,0.004805,47,44
MAX102,threat,Right Hypothalamus,late,-0.115934,0.004805,47,44
MAX102,threat,Right MidPost Insula,early,-0.558653,0.004125,47,44
MAX102,threat,Right MidPost Insula,late,-0.244852,0.004577,47,44
MAX102,threat,Right PAG,early,-0.415700,0.022849,47,44
MAX102,threat,Right PAG,late,-0.476947,0.022766,47,44
MAX102,threat,Right Posterior Caudate,early,-0.501406,0.004279,47,44
MAX102,threat,Right Posterior Caudate,late,-0.306653,0.004388,47,44
MAX102,threat,Right Posterior Putamen,early,-0.513077,0.004324,47,44
MAX102,threat,Right Posterior Putamen,late,-0.101957,0.004779,47,44
MAX102,threat,Right Posterior Thalamus,early,-0.415091,0.002156,47,44
MAX102,threat,Right Posterior Thalamus,late,-0.324430,0.002258,47,44
MAX102,threat,Right Ventral Striatum,early,-0.351721,0.004213,47,44
MAX102,threat,Right Ventral Striatum,late,-0.138556,0.004487,47,44
MAX102,threat,vmPFC,early,-0.396607,0.005473,47,44
MAX102,threat,vmPFC,late,-0.145082,0.005983,47,44
MAX103,safe,ACC,early,-0.422642,0.004772,33,32
MAX103,safe,ACC,late,-0.254355,0.005019,33,32
MAX103,safe,Left AntDorsal Insula,early,-0.147117,0.003553,33,32
MAX103,safe,Left AntDorsal Insula,late,-0.164099,0.003732,33,32
MAX103,safe,Left AntVentral Insula,early,-0.207380,0.007859,33,32
MAX103,safe,Left AntVentral Insula,late,-0.205749,0.008399,33,32
MAX103,safe,Left Anterior  Putamen,early,-0.009253,0.004772,33,32
MAX103,safe,Left Anterior  Putamen,late,-0.069169,0.004950,33,32
MAX103,safe,Left Anterior Caudate,early,-0.173338,0.004991,33,32
MAX103,safe,Left Anterior Caudate,late,-0.240770,0.005250,33,32
MAX103,safe,Left Anterior MCC,early,-0.242692,0.005052,33,32
MAX103,safe,Left Anterior MCC,late,-0.237623,0.005387,33,32
MAX103,safe,Left Anterior Thalamus,early,-0.010769,0.004544,33,32
MAX103,safe,Left Anterior Thalamus,late,-0.040652,0.004739,33,32
MAX103,safe,Left BLBM Amygdala,early,-0.201837,0.014515,33,32
MAX103,safe,Left BLBM Amygdala,late,-0.156107,0.014939,33,32
MAX103,safe,Left BST,early,-0.257014,0.022471,33,32
MAX103,safe,Left BST,late,-0.060125,0.022908,33,32
MAX103,safe,Left CeMe Amygdala,early,-0.094155,0.007773,33,32
MAX103,safe,Left CeMe Amygdala,late,0.030273,0.007842,33,32
MAX103,safe,Left Hypothalamus,early,-0.387927,0.011779,33,32
MAX103,safe,Left Hypothalamus,late,-0.247167,0.012089,33,32
MAX103,safe,Left MidPost Insula,early,-0.277063,0.002228,33,32
MAX103,safe,Left MidPost Insula,late,-0.225169,0.002343,33,32
MAX103,safe,Left PAG,early,-0.223186,0.027443,33,32
MAX103,safe,Left PAG,late,-0.143075,0.027500,33,32
MAX103,safe,Left Posterior Caudate,early,-0.217826,0.004855,33,32
MAX103,safe,Left Posterior Caudate,late,-0.174565,0.005036,33,32
MAX103,safe,Left Posterior Putamen,early,-0.110697,0.008044,33,32
MAX103,safe,Left Posterior Putamen,late,-0.134944,0.008597,33,32
MAX103,safe,Left Posterior Thalamus,early,-0.093995,0.002051,33,32
MAX103,safe,Left Posterior Thalamus,late,-0.139390,0.002158,33,32
MAX103,safe,Left Ventral Striatum,early,0.054512,0.004331,33,32
MAX103,safe,Left Ventral Striatum,late,-0.045675,0.004552,33,32
MAX103,safe,PCC,early,-0.572708,0.012142,33,32
MAX103,safe,PCC,late,-0.532549,0.012585,33,32
MAX103,safe,PCC/precuneus,early,-1.118059,0.031422,33,32
MAX103,safe,PCC/precuneus,late,-0.432925,0.033056,33,32
MAX103,safe,Right AntDorsal Insula,early,-0.063145,0.003194,33,32
MAX103,safe,Right AntDorsal Insula,late,-0.133937,0.003350,33,32
MAX103,safe,Right AntVentral Insula,early,-0.128283,0.005840,33,32
MAX103,safe,Right AntVentral Insula,late,-0.111983,0.006193,33,32
MAX103,safe,Right Anterior Caudate,early,-0.248284,0.004933,33,32
MAX103,safe,Right Anterior Caudate,late,-0.268647,0.005259,33,32
MAX103,safe,Right Anterior MCC,early,-0.209416,0.006800,33,32
MAX103,safe,Right Anterior MCC,late,-0.247837,0.007241,33,32
MAX103,safe,Right Anterior Putamen,early,0.013533,0.003323,33,32
MAX103,safe,Right Anterior Putamen,late,0.034577,0.003444,33,32
MAX103,safe,Right Anterior Thalamus,early,-0.130314,0.002929,33,32
MAX103,safe,Right Anterior Thalamus,late,-0.243165,0.003125,33,32
MAX103,safe,Right BLBM Amygdala,early,-0.526286,0.027940,33,32
MAX103,safe,Right BLBM Amygdala,late,-0.219963,0.029058,33,32
MAX103,safe,Right BST,early,0.343646,0.023322,33,32
MAX103,safe,Right BST,late,0.172121,0.023661,33,32
MAX103,safe,Right CeMe Amygdala,early,-0.195038,0.005915,33,32
MAX103,safe,Right CeMe Amygdala,late,-0.121109,0.005950,33,32
MAX103,safe,Right Hypothalamus,early,-0.068974,0.004429,33,32
MAX103,safe,Right Hypothalamus,late,-0.111961,0.004519,33,32
MAX103,safe,Right MidPost Insula,early,-0.286207,0.003523,33,32
MAX103,safe,Right MidPost Insula,late,-0.139495,0.003709,33,32
MAX103,safe,Right PAG,early,-0.000298,0.027801,33,32
MAX103,safe,Right PAG,late,0.043042,0.027858,33,32
MAX103,safe,Right Posterior Caudate,early,-0.159414,0.006181,33,32
MAX103,safe,Right Posterior Caudate,late,-0.126817,0.006394,33,32
MAX103,safe,Right Posterior Putamen,early,-0.120167,0.004573,33,32
MAX103,safe,Right Posterior Putamen,late,-0.102020,0.004802,33,32
MAX103,safe,Right Posterior Thalamus,early,-0.115111,0.002995,33,32
MAX103,safe,Right Posterior Thalamus,late,-0.176519,0.003174,33,32
MAX103,safe,Right Ventral Striatum,early,-0.015156,0.004865,33,32
MAX103,safe,Right Ventral Striatum,late,-0.021699,0.005030,33,32
MAX103,safe,vmPFC,early,-0.377122,0.016551,33,32
MAX103,safe,vmPFC,late,0.064756,0.017411,33,32
MAX103,threat,ACC,early,-0.381731,0.004721,33,32
MAX103,threat,ACC,late,-0.261243,0.005048,33,32
MAX103,threat,Left AntDorsal Insula,early,-0.092210,0.003520,33,32
MAX103,threat,Left AntDorsal Insula,late,-0.219885,0.003747,33,32
MAX103,threat,Left AntVentral Insula,early,-0.222107,0.007636,33,32
MAX103,threat,Left AntVentral Insula,late,-0.342017,0.008356,33,32
MAX103,threat,Left Anterior  Putamen,early,-0.099161,0.004785,33,32
MAX103,threat,Left Anterior  Putamen,late,-0.135143,0.004960,33,32
MAX103,threat,Left Anterior Caudate,early,-0.171006,0.004948,33,32
MAX103,threat,Left Anterior Caudate,late,-0.331019,0.005271,33,32
MAX103,threat,Left Anterior MCC,early,-0.084844,0.004854,33,32
MAX103,threat,Left Anterior MCC,late,-0.252014,0.005396,33,32
MAX103,threat,Left Anterior Thalamus,early,-0.101760,0.004522,33,32
MAX103,threat,Left Anterior Thalamus,late,-0.024209,0.004721,33,32
MAX103,threat,Left BLBM Amygdala,early,-0.162093,0.014459,33,32
MAX103,threat,Left BLBM Amygdala,late,-0.044923,0.014813,33,32
MAX103,threat,Left BST,early,-0.301938,0.022343,33,32
MAX103,threat,Left BST,late,-0.218172,0.022685,33,32
MAX103,threat,Left CeMe Amygdala,early,-0.153714,0.007736,33,32
MAX103,threat,Left CeMe Amygdala,late,0.002561,0.007783,33,32
MAX103,threat,Left Hypothalamus,early,-0.258406,0.011664,33,32
MAX103,threat,Left Hypothalamus,late,-0.015197,0.011871,33,32
MAX103,threat,Left MidPost Insula,early,-0.183819,0.002213,33,32
MAX103,threat,Left MidPost Insula,late,-0.251287,0.002354,33,32
MAX103,threat,Left PAG,early,-0.193320,0.027178,33,32
MAX103,threat,Left PAG,late,-0.200833,0.027280,33,32
MAX103,threat,Left Posterior Caudate,early,-0.332832,0.004872,33,32
MAX103,threat,Left Posterior Caudate,late,-0.272142,0.005046,33,32
MAX103,threat,Left Posterior Putamen,early,-0.342931,0.007776,33,32
MAX103,threat,Left Posterior Putamen,late,-0.310802,0.008587,33,32
MAX103,threat,Left Posterior Thalamus,early,-0.075756,0.002021,33,32
MAX103,threat,Left Posterior Thalamus,late,-0.108138,0.002122,33,32
MAX103,threat,Left Ventral Striatum,early,0.013930,0.004302,33,32
MAX103,threat,Left Ventral Striatum,late,-0.012033,0.004558,33,32
MAX103,threat,PCC,early,-0.861630,0.012177,33,32
MAX103,threat,PCC,late,-0.577376,0.012611,33,32
MAX103,threat,PCC/precuneus,early,-0.867511,0.031100,33,32
MAX103,threat,PCC/precuneus,late,-0.237126,0.033257,33,32
MAX103,threat,Right AntDorsal Insula,early,-0.125734,0.003179,33,32
MAX103,threat,Right AntDorsal Insula,late,-0.225596,0.003346,33,32
MAX103,threat,Right AntVentral Insula,early,-0.115985,0.005727,33,32
MAX103,threat,Right AntVentral Insula,late,-0.200871,0.006113,33,32
